"ITEM_ID","LABEL","REVIEW_ID","KEYWORDS","Cat","ABSTRACT","TITLE"
"pubmed-18514431",0,"NDC-SOLES","AnimalsAutistic Disorder/*diagnosis/*pathologyFamily HealthFemaleGlutamate Decarboxylase/chemistry/*immunologyHumansImmune SystemMaternal-Fetal ExchangeMiceModels BiologicalModels TheoreticalMothersPregnancyPurkinje Cells/*cytology",NA,"","A pathogenetic model of autism involving Purkinje cell loss through anti-GAD antibodies"
"pubmed-18544893",0,"NDC-SOLES","AnimalsAvoidance LearningFearHistamine H1 Antagonists/*therapeutic useLearning Disabilities/*drug therapy/etiologyMaleMaze LearningMemory Disorders/*drug therapy/etiologyMethamphetamine/*toxicityMiceMice Inbred ICRReflex Startle*Social Isolation",NA,"","Blocking histamine H(1) improves learning and mnemonic dysfunction in mice with social isolation plus repeated methamphetamine injection"
"pubmed-20133615",0,"NDC-SOLES","Abnormalities Multiple/*geneticsAnimalsAntibody Formation/*geneticsApoptosis/immunologyBlotting SouthernChildDNA Ligase ATPDNA Ligases/*genetics/immunologyDevelopmental Disabilities/*genetics*Disease Models AnimalFlow CytometryHumansImmunoglobulins/bloodImmunophenotypingMiceMutation Missense/*genetics/immunologySevere Combined Immunodeficiency/*geneticsSyndrome",NA,"","Homozygous DNA ligase IV R278H mutation in mice leads to leaky SCID and represents a model for human LIG4 syndrome"
"pubmed-21029865",0,"NDC-SOLES","Angelman Syndrome/metabolismAnimalsChildChild Development Disorders Pervasive/metabolismDentate Gyrus/cytology/metabolismEmbryo Mammalian/metabolismGene Knockout TechniquesHumansMiceRatsRats Long-EvansReceptors Eph Family/geneticsSynapses/*metabolismUbiquitin-Protein Ligases/genetics/metabolismrhoA GTP-Binding Protein/genetics/*metabolism",NA,"","EphB-mediated degradation of the RhoA GEF Ephexin5 relieves a developmental brake on excitatory synapse formation"
"pubmed-21473985",0,"NDC-SOLES","Abnormalities Multiple/genetics/metabolismAmino Acid SequenceAmino Acid SubstitutionBase SequenceCataract/congenital/genetics/metabolismCodon TerminatorConsanguinityCornea/abnormalities/metabolismDNA Mutational AnalysisFemaleFounder EffectHaplotypesHumansHypogonadism/genetics/metabolismIntellectual Disability/genetics/metabolismMaleMicrocephaly/genetics/metabolismModels MolecularMolecular Sequence DataMutant Proteins/genetics/metabolism*MutationMutation MissenseOptic Atrophy/genetics/metabolismPedigreePhenotypeProtein BindingSequence DeletionSequence Homology Amino Acidrab GTP-Binding Proteins/chemistry/*genetics/metabolismrab3 GTP-Binding Proteins/genetics",NA,"","Loss-of-function mutations in RAB18 cause Warburg micro syndrome"
"pubmed-21515581",0,"NDC-SOLES","Action Potentials/physiologyAnimalsCalcium-Calmodulin-Dependent Protein Kinase Type 2/metabolismDown-RegulationDrosophila Proteins/*metabolismDrosophila melanogaster/drug effects/genetics/*metabolismFocal Adhesion Protein-Tyrosine Kinases/metabolismGlutamic Acid/metabolism/*pharmacologyImmunohistochemistryLarva/drug effects/genetics/*metabolismMicroscopy Electron TransmissionMotor Neurons/cytology/*drug effects/metabolismNeuromuscular Junction/cytology/drug effects/*metabolismNeuronal Plasticity/drug effects/*physiologyPhosphatidylinositol 3-Kinases/metabolismReceptors Metabotropic Glutamate/*metabolism*Signal Transduction/drug effectsTransfectionTransgenesUp-Regulation",NA,"","The metabotropic glutamate receptor activates the lipid kinase PI3K in Drosophila motor neurons through the calcium/calmodulin-dependent protein kinase II and the nonreceptor tyrosine protein kinase DFak"
"pubmed-21767826",0,"NDC-SOLES","Aging/psychologyAlanine Transaminase/bloodAnimals*AnticonvulsantsAspartate Aminotransferases/bloodAutistic Disorder/*chemically induced/*psychologyBehavior Animal/*drug effectsCatalase/metabolismDisease Models AnimalFemaleLiver/*metabolismLiver Function TestsMaze Learning/drug effectsOxidation-ReductionOxidative Stress/drug effectsPregnancyPrenatal Exposure Delayed EffectsProtein CarbonylationRatsRats WistarSocial BehaviorSulfhydryl Compounds/metabolismSuperoxide Dismutase/metabolismThiobarbituric Acid Reactive Substances/metabolism*Valproic Acid",NA,"","Animal model of autism induced by prenatal exposure to valproate: behavioral changes and liver parameters"
"pubmed-21972117",0,"NDC-SOLES","Adolescent*ChecklistChildChild Behavior Disorders/*diagnosis/genetics/psychology/*therapyChild PreschoolDNA Mutational AnalysisFactor Analysis StatisticalFemaleFragile X Mental Retardation Protein/geneticsFragile X Syndrome/*diagnosis/genetics/psychology/*therapyHumansIntellectual Disability/diagnosis/psychology/therapyMaleOutcome Assessment Health Care/statistics & numerical dataPersonality Assessment/*statistics & numerical dataPsychometrics/statistics & numerical dataPsychotropic Drugs/therapeutic useReproducibility of ResultsSocial AdjustmentYoung Adult",NA,"","Psychometric study of the Aberrant Behavior Checklist in Fragile X Syndrome and implications for targeted treatment"
"pubmed-23136410",1,"NDC-SOLES","AnimalsAutophagy/*physiologyAutophagy-Related Protein 7Epilepsy/genetics/*metabolismHumansMiceMice KnockoutMicrotubule-Associated Proteins/genetics/metabolismNeurons/*metabolismPTEN Phosphohydrolase/genetics/metabolismProsencephalon/*metabolismSignal Transduction/physiologyTOR Serine-Threonine Kinases/genetics/*metabolismTuberous Sclerosis/genetics/*metabolismTuberous Sclerosis Complex 1 ProteinTumor Suppressor Proteins/genetics/metabolism",NA,"","Impaired autophagy in neurons after disinhibition of mammalian target of rapamycin and its contribution to epileptogenesis"
"pubmed-23348913",0,"NDC-SOLES","AcetylationAdolescentBrain-Derived Neurotrophic Factor/*genetics/metabolismCase-Control StudiesChildChild PreschoolChromatin/genetics/metabolism*Epigenesis GeneticHistones/metabolismHomeodomain Proteins/*genetics/metabolismHumansLymphocytes/*metabolismMethyl-CpG-Binding Protein 2/*genetics/metabolismMethylation*Promoter Regions GeneticRett Syndrome/*genetics/metabolismTranscription Factors/*genetics/metabolismTranscription GeneticTranscriptional ActivationYoung AdultMeCP2RttRett syndromehistone H3lymphocytes",NA,"","Novel alterations in the epigenetic signature of MeCP2-targeted promoters in lymphocytes of Rett syndrome patients"
"pubmed-23456787",0,"NDC-SOLES","Aldosterone/bloodAnimal Feed/analysisAnimal Nutritional Physiological PhenomenaAnimalsDiet/veterinaryDietary Supplements/analysisDrinking*EatingEnzyme-Linked Immunosorbent Assay/veterinaryLaosMalePhotometry/veterinaryPotassium/*metabolism/urineSodium/*metabolism/urineSodium Chloride Dietary/administration & dosage/*pharmacologySus scrofa/growth & development/*physiology",NA,"","Effects of high dietary sodium chloride content on performance and sodium and potassium balance in growing pigs"
"pubmed-23495194",0,"NDC-SOLES","Air Pollutants/*toxicityAnimalsBehavior Animal/*drug effectsCompulsive Behavior/*chemically induced/physiopathologyDisease Models AnimalFemaleGrooming/drug effectsMaleMaternal Exposure/*adverse effectsMiceMotor Activity/*drug effectsPregnancyPrenatal Exposure Delayed Effects/chemically induced/physiopathologySocial BehaviorVehicle Emissions/*toxicityautismdiesel exhaust particlesearly-life exposurerepetitive behaviors",NA,"","Prenatal and early-life exposure to high-level diesel exhaust particles leads to increased locomotor activity and repetitive behaviors in mice"
"pubmed-23926248",0,"NDC-SOLES","ADAM Proteins/*deficiencyADAM10 ProteinAmyloid Precursor Protein Secretases/*deficiencyAmyloid beta-Protein Precursor/metabolismAnimalsAnimals NewbornBrain/pathology/*ultrastructureCadherins/metabolismCalcium-Calmodulin-Dependent Protein Kinase Type 2/geneticsCell Adhesion Molecules/metabolismDendritic Spines/metabolism/*pathologyDisease Models AnimalEpilepsy/*genetics/*pathologyGene Expression Regulation Developmental/geneticsGliosis/geneticsLearning Disabilities/genetics/*pathologyMembrane Proteins/*deficiencyMiceMice TransgenicNectinsReceptors N-Methyl-D-Aspartate/metabolismSynapses/metabolism/*pathology/ultrastructure",NA,"","Postnatal disruption of the disintegrin/metalloproteinase ADAM10 in brain causes epileptic seizures learning deficits altered spine morphology and defective synaptic functions"
"pubmed-24023755",1,"NDC-SOLES","AnimalsBrain/*metabolism/*pathology/ultrastructureCA1 Region Hippocampal/metabolism/pathology/ultrastructureCA3 Region Hippocampal/metabolism/pathology/ultrastructureCaspase 3/metabolismDoublecortin Domain ProteinsDoublecortin ProteinFemaleGolgi Apparatus/metabolism/pathology/ultrastructureHippocampus/*metabolism/*pathologyImmunohistochemistryIn Situ HybridizationMaleMiceMice KnockoutMicroscopy ElectronMicrotubule-Associated Proteins/genetics/*metabolismMitochondria/metabolism/pathology/ultrastructureNeuropeptides/genetics/*metabolism",NA,"","Organelle and cellular abnormalities associated with hippocampal heterotopia in neonatal doublecortin knockout mice"
"pubmed-24295733",0,"NDC-SOLES","AnimalsBehavior Animal/drug effectsChild Development Disorders Pervasive/*metabolismDisease Models AnimalEnzyme Inhibitors/*pharmacologyMaleMechanistic Target of Rapamycin Complex 1MiceMice Mutant StrainsMultiprotein Complexes/*antagonists & inhibitorsSirolimus/*pharmacology*Social BehaviorStereotyped Behavior/drug effectsTOR Serine-Threonine Kinases/*antagonists & inhibitorsBTBR miceNMDA receptorRapamycinSociabilitymTOR signaling",NA,"","Rapamycin improves sociability in the BTBR T(+)Itpr3(tf)/J mouse model of autism spectrum disorders"
"pubmed-24358452",0,"NDC-SOLES","AutismFoxp1Foxp2GeneticsRodent vocalization",NA,"","ASD-relevant Animal Models of the Foxp Family of Transcription Factors"
"pubmed-24363064",1,"NDC-SOLES","Acoustic StimulationAnimalsDeafness/*genetics/pathology/physiopathologyDisease Models AnimalEpilepsy Reflex/geneticsExtracellular Matrix Proteins/*geneticsFemaleGPI-Linked Proteins/geneticsGenetic Association StudiesGenetic Predisposition to DiseaseHair Cells Auditory Inner/pathologyHomozygoteHumansMaleMice 129 StrainMice TransgenicMolecular Motor Proteins/metabolismMutation MissenseOrgan of Corti/pathologyPhenotypeTectorial Membrane/metabolism/*pathology",NA,"","Three deaf mice: mouse models for TECTA-based human hereditary deafness reveal domain-specific structural phenotypes in the tectorial membrane"
"pubmed-24477985",0,"NDC-SOLES","AnimalsCell Adhesion Molecules/genetics/metabolismCell CountDendrites/physiologyFemaleMacacaMiceMice Inbred C3HMice Inbred C57BLMice TransgenicMicroscopy ElectronMutationRetina/cytology/physiopathologyRetinal Bipolar Cells/cytology/physiologyRetinal Cone Photoreceptor Cells/*cytology/*physiologySciuridaeSpecies SpecificitySynapses/*physiologybcl-2-Associated X Protein/genetics/metabolismadhesionconeconnectomedevelopmentdifferential adhesion hypothesishorizontal cellmosaicpediclerodspherulesynapse",NA,"","DSCAM localization and function at the mouse cone synapse"
"pubmed-25061506",0,"NDC-SOLES","ApoA1GlutamateLeptinMajor depressive disorderOligodendrocytesProteomicsSRMstatsSerum biomarkers",NA,"","Integrative proteomic analysis of the NMDA NR1 knockdown mouse model reveals effects on central and peripheral pathways associated with schizophrenia and autism spectrum disorders"
"pubmed-25109237",0,"NDC-SOLES","AnimalsAxons/*metabolismBrain/metabolismCOS CellsChlorocebus aethiopsFragile X Mental Retardation Protein/*geneticsFragile X Syndrome/*geneticsMicrotubule-Associated Proteins/*metabolismMyristates/metabolismNeurons/*metabolismProtein Processing Post-TranslationalFxr2pFragile X syndromeMyristoylationRNA binding proteins",NA,"","N-myristoylation regulates the axonal distribution of the Fragile X-related protein FXR2P"
"pubmed-25134682",0,"NDC-SOLES","AdultBrain Mapping/methodsCerebellum/*anatomy & histologyCerebral Cortex/*anatomy & histologyDiffusion Magnetic Resonance Imaging/methodsDiffusion Tensor Imaging/*methodsFemaleHumansMaleMiddle AgedNeural Pathways/anatomy & histologyVentral Thalamic Nuclei/*anatomy & histologyYoung AdultCerebellumCerebral cortexDiffusion MRIMRI tractography",NA,"","Contralateral cerebello-thalamo-cortical pathways with prominent involvement of associative areas in humans in vivo"
"pubmed-25196215",0,"NDC-SOLES","AnimalsAxons/drug effectsBrain/*growth & developmentCOS CellsChild Development Disorders Pervasive/*geneticsChlorocebus aethiopsDeoxyuridine/analogs & derivatives/metabolismFemaleHumansIn Vitro TechniquesLymphocytes/drug effectsMaleMembrane Proteins/deficiency/*geneticsMiceMice Inbred ICRPlasmidsPregnancyRNA InterferenceLin-7Bautismcerebral cortexdevelopmentneuronal migration",NA,"","Role of an adaptor protein Lin-7B in brain development: possible involvement in autism spectrum disorders"
"pubmed-25352779",0,"NDC-SOLES","GABAA receptorbouton formationchannelopathyepilepsyhuman geneticsorganotypic slice culture",NA,"","Single-cell genetic expression of mutant GABAA receptors causing Human genetic epilepsy alters dendritic spine and GABAergic bouton formation in a mutation-specific manner"
"pubmed-25451118",1,"NDC-SOLES","AnimalsCell Adhesion Molecules/*metabolismCell Movement/physiologyCerebral Cortex/*embryology/metabolismElectroporationImmunohistochemistryIn Situ HybridizationMiceNeurogenesis/*physiologyNeurons/*metabolismRNA InterferenceTransfectionCallosal projectionCerebral cortexDscamDendritic arborizationRadial migration",NA,"","DSCAM and DSCAML1 regulate the radial migration and callosal projection in developing cerebral cortex"
"pubmed-25811370",0,"NDC-SOLES","Age of OnsetAnimalsCataract/*genetics/*metabolism/pathologyDisease Models AnimalDown-RegulationEpithelial Cells/*metabolismGene DeletionGene Expression Regulation EnzymologicGene TargetingGenetic Association StudiesGenotypeLens Crystalline/*metabolismMiceMice Knockout*Oxidative StressPhenotypeReceptors G-Protein-Coupled/deficiency/*genetics",NA,"","Targeted deletion of the murine Lgr4 gene decreases lens epithelial cell resistance to oxidative stress and induces age-related cataract formation"
"pubmed-26291160",0,"NDC-SOLES","AnimalsCalcium-Binding ProteinsCells CulturedGene Knockdown TechniquesMiceMice Inbred C57BLNerve Tissue Proteins/analysis/*metabolismNeural Cell Adhesion Molecules/analysis/*metabolismNeurons/chemistry/*metabolismProtein Transport/physiologyRatsRats Long-EvansReceptors AMPA/analysis/*metabolismReceptors Cell Surface/analysis/*physiology",NA,"","The Sorting Receptor SorCS1 Regulates Trafficking of Neurexin and AMPA Receptors"
"pubmed-26300453",1,"NDC-SOLES","AnimalsAttention/*physiologyBehavior Animal/*physiologyMaleMiceMice Inbred BALB CMice Inbred C57BLMice Inbred DBAMice TransgenicModels AnimalPattern Recognition Visual/*physiologySynaptosomal-Associated Protein 25/genetics/*physiologyInbred miceNovel object recognitionSnap-25Shapes movementVisual attentionVisual object recognition",NA,"","Different attentional abilities among inbred mice strains using virtual object recognition task (VORT): SNAP25⁺/⁻ mice as a model of attentional deficit"
"pubmed-26477937",0,"NDC-SOLES","Aggression/drug effectsAnimalsAnxiety/chemically inducedBehavior Animal/*drug effectsEmbryo Nonmammalian/*drug effectsEmbryonic Development/drug effectsFemale*Interpersonal RelationsMaleMotor Activity/drug effectsPregnancyValproic Acid/analysis/*toxicityZebrafishAnxietyAutismLocomotionSocial interactionValproic acid",NA,"","Embryological exposure to valproic acid induces social interaction deficits in zebrafish (Danio rerio): A developmental behavior analysis"
"pubmed-26819276",0,"NDC-SOLES","AnimalsAnimals NewbornApoptosis/*physiologyCells CulturedFemaleGABAergic Neurons/cytology/*physiologyInterstitial Cells of Cajal/cytology/*physiologyLectins C-Type/*metabolismMaleMiceMice Inbred C57BLMice KnockoutNeocortex/cytology/*physiologyReceptors Cell Surface/*metabolismReceptors GABA-A/*metabolismSignal Transduction/physiologygamma-Aminobutyric Acid/*metabolismCajal–Retzius neuronGabaapoptosiscerebral cortexdevelopment",NA,"","NKCC1-Mediated GABAergic Signaling Promotes Postnatal Cell Death in Neocortical Cajal-Retzius Cells"
"pubmed-27277807",0,"NDC-SOLES","AnimalsAnimals NewbornCA2 Region Hippocampal/*cytologyExcitatory Amino Acid Agents/pharmacologyExcitatory Postsynaptic Potentials/drug effects/*physiologyExtracellular Matrix/metabolismExtracellular Matrix Proteins/metabolismFemaleGene Expression Regulation Developmental/drug effects/*physiologyGlutamate Decarboxylase/genetics/metabolismGreen Fluorescent Proteins/genetics/metabolismMaleMembrane Proteins/genetics/metabolismMiceMice Inbred C57BLMice TransgenicNerve Net/drug effects/*physiology/ultrastructureNerve Tissue Proteins/genetics/metabolismPyramidal Cells/drug effects/*physiology/ultrastructureSatellite Cells Perineuronal/drug effects/*physiologycritical periodextracellular matrixhippocampuslong-term potentiation",NA,"","Perineuronal Nets Suppress Plasticity of Excitatory Synapses on CA2 Pyramidal Neurons"
"pubmed-27472223",1,"NDC-SOLES",NA,NA,"","A Spontaneous Missense Mutation in Branched Chain Keto Acid Dehydrogenase Kinase in the Rat Affects Both the Central and Peripheral Nervous Systems"
"pubmed-28374847",0,"NDC-SOLES","Acetamides/*administration & dosageAnimalsAntidepressive Agents/administration & dosageBrain-Derived Neurotrophic Factor/geneticsCognitive Dysfunction/*drug therapy/genetics/pathologyDepressive Disorder/drug therapy/genetics/pathologyDisease Models AnimalDisks Large Homolog 4 Protein/geneticsGene Expression Regulation/drug effectsHippocampus/metabolism/pathologyHumansMemory Disorders/*drug therapy/genetics/pathologyMiceMicrofilament Proteins/geneticsNerve Tissue Proteins/geneticsNeuronal Plasticity/geneticsStress Psychological/*drug therapy/genetics/pathologySynapsins/geneticsSynaptophysin/genetics",NA,"","Effect of agomelatine on memory deficits and hippocampal gene expression induced by chronic social defeat stress in mice"
"pubmed-28513774",0,"NDC-SOLES","Age FactorsAmyloid beta-Protein Precursor/*geneticsAnimalsBrain/metabolismCell Adhesion Molecules/*metabolismDisease Models AnimalDown Syndrome/metabolismGenotypeHippocampus/*metabolismLearning Disabilities/metabolismMemory Disorders/metabolismMice Inbred C57BLMice Transgenic",NA,"","Hippocampal overexpression of Down syndrome cell adhesion molecule in amyloid precursor protein transgenic mice"
"pubmed-28928363",1,"NDC-SOLES","AnimalsAutism Spectrum Disorder/*genetics/metabolism/physiopathologyFemaleGenetic Predisposition to DiseaseGlutamic Acid/metabolismGuanine Nucleotide Exchange Factors/*genetics/metabolismHumansIn Vitro TechniquesMaleMutationNerve Tissue Proteins/*genetics/metabolismNeurons/*metabolismPatch-Clamp TechniquesProtein Serine-Threonine Kinases/*geneticsRatsRats Sprague-DawleyReceptors AMPA/metabolismSynapses/metabolism",NA,"","An autism spectrum disorder-related de novo mutation hotspot discovered in the GEF1 domain of Trio"
"pubmed-29049287",0,"NDC-SOLES","AnimalsBardet-Biedl Syndrome/genetics/metabolism/pathologyCilia/metabolismMiceMice KnockoutModels AnimalMorphogenesis/genetics/*physiologyMutation/geneticsPhotoreceptor Cells/*metabolismProtein Transport/genetics/*physiologyRetina/metabolism/physiology",NA,"","BBSome function is required for both the morphogenesis and maintenance of the photoreceptor outer segment"
"pubmed-29311892",1,"NDC-SOLES","Ca3conditional knockout micedepressionfibroblast growth factorhippocampusneurogenesissynaptogenesis",NA,"","Selective Inactivation of Fibroblast Growth Factor 22 (FGF22) in CA3 Pyramidal Neurons Impairs Local Synaptogenesis and Affective Behavior Without Affecting Dentate Neurogenesis"
"pubmed-29651330",0,"NDC-SOLES","AnimalsBrain/*diagnostic imaging/metabolismFemaleMagnetic Resonance ImagingMaleMiceMice Inbred C57BLMutationNeurons/metabolismSerotonin/metabolismSerotonin Plasma Membrane Transport Proteins/*genetics/metabolism5-ht5httBrainDorsal rapheNeurodevelopmentSerotoninSlc6a4",NA,"","Analysis of neuroanatomical differences in mice with genetically modified serotonin transporters assessed by structural magnetic resonance imaging"
"pubmed-29898395",0,"NDC-SOLES","AnimalsCarrier Proteins/antagonists & inhibitors/genetics/metabolismCell DifferentiationEmbryo Mammalian/metabolismEmbryonic DevelopmentErythroblasts/cytology/metabolismFetal Hemoglobin/genetics/*metabolismHematopoietic Stem Cells/cytology/metabolismHumansMiceMice Inbred C57BLMice KnockoutNuclear Proteins/antagonists & inhibitors/genetics/metabolismPromoter Regions GeneticRNA InterferenceRNA Small Interfering/metabolismRepressor ProteinsTransposases/antagonists & inhibitors/*genetics/metabolismbeta-Globins/*genetics/metabolismerythropoiesisfetal globingene regulationglobin switchinghematopoietic developmentred cellssickle cell diseasetranscriptionβ-thalassemia",NA,"","POGZ Is Required for Silencing Mouse Embryonic β-like Hemoglobin and Human Fetal Hemoglobin Expression"
