"REVIEW_ID","ITEM_ID","LABEL"
"NDC-SOLES","pubmed-35022531",1
"NDC-SOLES","pubmed-35115700",99
"NDC-SOLES","pubmed-30013074",1
"NDC-SOLES","pubmed-30655503",1
"NDC-SOLES","pubmed-30664622",1
"NDC-SOLES","pubmed-31534115",1
"NDC-SOLES","pubmed-35292625",1
"NDC-SOLES","pubmed-32015323",1
"NDC-SOLES","pubmed-29133852",1
"NDC-SOLES","pubmed-30093665",1
"NDC-SOLES","pubmed-31201320",1
"NDC-SOLES","pubmed-32103003",1
"NDC-SOLES","pubmed-32286273",1
"NDC-SOLES","pubmed-33758193",99
"NDC-SOLES","pubmed-34135323",1
"NDC-SOLES","pubmed-34145239",99
"NDC-SOLES","pubmed-34667149",1
"NDC-SOLES","pubmed-34645823",1
"NDC-SOLES","pubmed-35241668",99
"NDC-SOLES","pubmed-35864088",1
"NDC-SOLES","pubmed-36030255",1
"NDC-SOLES","pubmed-31853066",99
"NDC-SOLES","pubmed-32760004",1
"NDC-SOLES","pubmed-33762729",1
"NDC-SOLES","pubmed-31636454",1
"NDC-SOLES","pubmed-29184200",1
"NDC-SOLES","pubmed-29184203",99
"NDC-SOLES","pubmed-29531362",99
"NDC-SOLES","pubmed-29867081",1
"NDC-SOLES","pubmed-30104731",1
"NDC-SOLES","pubmed-30455454",99
"NDC-SOLES","pubmed-30455457",1
"NDC-SOLES","pubmed-31332372",99
"NDC-SOLES","pubmed-28724954",1
"NDC-SOLES","pubmed-29872062",99
"NDC-SOLES","pubmed-31263190",1
"NDC-SOLES","pubmed-31501495",1
"NDC-SOLES","pubmed-32398858",1
"NDC-SOLES","pubmed-32769989",1
"NDC-SOLES","pubmed-32879325",99
"NDC-SOLES","pubmed-32994505",99
"NDC-SOLES","pubmed-33093534",1
"NDC-SOLES","pubmed-35365720",1
"NDC-SOLES","pubmed-36402907",1
"NDC-SOLES","pubmed-26865403",1
"NDC-SOLES","pubmed-27229316",1
"NDC-SOLES","pubmed-27819284",1
"NDC-SOLES","pubmed-25646590",1
"NDC-SOLES","pubmed-28137836",1
"NDC-SOLES","pubmed-30275311",1
"NDC-SOLES","pubmed-31285321",1
"NDC-SOLES","pubmed-31611379",99
"NDC-SOLES","pubmed-26017580",1
"NDC-SOLES","pubmed-29538625",99
"NDC-SOLES","pubmed-28922833",1
"NDC-SOLES","pubmed-29668850",1
"NDC-SOLES","pubmed-31240311",1
"NDC-SOLES","pubmed-24497577",1
"NDC-SOLES","pubmed-27131348",99
"NDC-SOLES","pubmed-27436578",1
"NDC-SOLES","pubmed-29659809",1
"NDC-SOLES","pubmed-26333994",1
"NDC-SOLES","pubmed-26110222",1
"NDC-SOLES","pubmed-28915148",1
"NDC-SOLES","pubmed-24493647",1
"NDC-SOLES","pubmed-26494785",1
"NDC-SOLES","pubmed-28921757",1
"NDC-SOLES","pubmed-28921675",1
"NDC-SOLES","pubmed-25561290",1
"NDC-SOLES","pubmed-28753255",1
"NDC-SOLES","pubmed-33347690",99
"NDC-SOLES","pubmed-34533985",1
"NDC-SOLES","pubmed-35977029",1
"NDC-SOLES","pubmed-24503856",1
"NDC-SOLES","pubmed-26847545",1
"NDC-SOLES","pubmed-32522805",1
"NDC-SOLES","pubmed-29977282",99
"NDC-SOLES","pubmed-34156984",99
"NDC-SOLES","pubmed-35917186",1
"NDC-SOLES","pubmed-28165338",1
"NDC-SOLES","pubmed-30106381",1
"NDC-SOLES","pubmed-33933000",1
"NDC-SOLES","pubmed-27488351",1
"NDC-SOLES","pubmed-28385162",1
"NDC-SOLES","pubmed-33726803",99
"NDC-SOLES","pubmed-30792833",1
"NDC-SOLES","pubmed-30962870",1
"NDC-SOLES","pubmed-33023670",1
"NDC-SOLES","pubmed-33468258",1
"NDC-SOLES","pubmed-33757588",1
"NDC-SOLES","pubmed-35303947",99
"NDC-SOLES","pubmed-35538503",1
"NDC-SOLES","pubmed-27864380",1
"NDC-SOLES","pubmed-26515654",1
"NDC-SOLES","pubmed-31600191",99
"NDC-SOLES","pubmed-28813484",1
"NDC-SOLES","pubmed-34021030",99
"NDC-SOLES","pubmed-28795135",1
"NDC-SOLES","pubmed-31704787",1
"NDC-SOLES","pubmed-34848499",1
"NDC-SOLES","pubmed-28978667",1
"NDC-SOLES","pubmed-31988060",1
"NDC-SOLES","pubmed-26558778",1
"NDC-SOLES","pubmed-27903723",1
"NDC-SOLES","pubmed-26134648",1
"NDC-SOLES","pubmed-25609613",99
"NDC-SOLES","pubmed-32510763",1
"NDC-SOLES","pubmed-27812326",99
"NDC-SOLES","pubmed-35449559",1
"NDC-SOLES","pubmed-35711692",1
"NDC-SOLES","pubmed-23761734",1
"NDC-SOLES","pubmed-30405356",1
"NDC-SOLES","pubmed-29970987",1
"NDC-SOLES","pubmed-29970989",1
"NDC-SOLES","pubmed-30842726",1
"NDC-SOLES","pubmed-31680851",99
"NDC-SOLES","pubmed-25745399",1
"NDC-SOLES","pubmed-25237666",1
"NDC-SOLES","pubmed-35754477",1
"NDC-SOLES","pubmed-28867767",1
"NDC-SOLES","pubmed-30636904",1
"NDC-SOLES","pubmed-26158416",1
"NDC-SOLES","pubmed-27779093",1
"NDC-SOLES","pubmed-28695822",1
"NDC-SOLES","pubmed-30973326",1
"NDC-SOLES","pubmed-33155545",1
"NDC-SOLES","pubmed-24465979",1
"NDC-SOLES","pubmed-18599438",1
"NDC-SOLES","pubmed-16368758",1
"NDC-SOLES","pubmed-19595767",1
"NDC-SOLES","pubmed-20392954",1
"NDC-SOLES","pubmed-7926784",1
"NDC-SOLES","pubmed-20357110",1
"NDC-SOLES","pubmed-23456787",99
"NDC-SOLES","pubmed-12805550",1
"NDC-SOLES","pubmed-19627984",99
"NDC-SOLES","pubmed-28696432",1
"NDC-SOLES","pubmed-17640820",99
"NDC-SOLES","pubmed-11560960",1
"NDC-SOLES","pubmed-9430716",1
"NDC-SOLES","pubmed-20016099",1
"NDC-SOLES","pubmed-19145222",1
"NDC-SOLES","pubmed-11544478",1
"NDC-SOLES","pubmed-36035149",1
"NDC-SOLES","pubmed-7920653",1
"NDC-SOLES","pubmed-8673131",1
"NDC-SOLES","pubmed-12598599",1
"NDC-SOLES","pubmed-12379852",1
"NDC-SOLES","pubmed-8789948",1
"NDC-SOLES","pubmed-11875047",1
"NDC-SOLES","pubmed-20573883",1
"NDC-SOLES","pubmed-23097495",1
"NDC-SOLES","pubmed-18371367",1
"NDC-SOLES","pubmed-15184377",1
"NDC-SOLES","pubmed-16251435",1
"NDC-SOLES","pubmed-20105235",1
"NDC-SOLES","pubmed-20696245",1
"NDC-SOLES","pubmed-23268962",99
"NDC-SOLES","pubmed-23760474",1
"NDC-SOLES","pubmed-16763026",1
"NDC-SOLES","pubmed-10491404",1
"NDC-SOLES","pubmed-10827969",1
"NDC-SOLES","pubmed-15066271",1
"NDC-SOLES","pubmed-34588434",1
"NDC-SOLES","pubmed-11580894",1
"NDC-SOLES","pubmed-16022389",1
"NDC-SOLES","pubmed-19998492",1
"NDC-SOLES","pubmed-20007372",1
"NDC-SOLES","pubmed-15194823",1
"NDC-SOLES","pubmed-11797009",1
"NDC-SOLES","pubmed-26286618",1
"NDC-SOLES","pubmed-9832558",99
"NDC-SOLES","pubmed-10973973",1
"NDC-SOLES","pubmed-19659572",1
"NDC-SOLES","pubmed-27485686",1
"NDC-SOLES","pubmed-10500095",1
"NDC-SOLES","pubmed-15146240",1
"NDC-SOLES","pubmed-10485705",99
"NDC-SOLES","pubmed-19225110",1
"NDC-SOLES","pubmed-17101632",1
"NDC-SOLES","pubmed-22539951",1
"NDC-SOLES","pubmed-19081379",1
"NDC-SOLES","pubmed-16106363",1
"NDC-SOLES","pubmed-22153375",1
"NDC-SOLES","pubmed-29891949",1
"NDC-SOLES","pubmed-7605629",1
"NDC-SOLES","pubmed-27472223",99
"NDC-SOLES","pubmed-29739816",1
"NDC-SOLES","pubmed-29800644",1
"NDC-SOLES","pubmed-24773431",1
"NDC-SOLES","pubmed-28894415",1
"NDC-SOLES","pubmed-29899064",1
"NDC-SOLES","pubmed-30557783",1
"NDC-SOLES","pubmed-26321676",1
"NDC-SOLES","pubmed-27313794",1
"NDC-SOLES","pubmed-27329765",1
"NDC-SOLES","pubmed-27365498",1
"NDC-SOLES","pubmed-28760966",1
"NDC-SOLES","pubmed-29286317",1
"NDC-SOLES","pubmed-23451101",1
"NDC-SOLES","pubmed-28958035",1
"NDC-SOLES","pubmed-29802263",1
"NDC-SOLES","pubmed-25420124",1
"NDC-SOLES","pubmed-28114293",99
"NDC-SOLES","pubmed-25154505",1
"NDC-SOLES","pubmed-29970986",1
"NDC-SOLES","pubmed-28139198",1
"NDC-SOLES","pubmed-29052348",1
"NDC-SOLES","pubmed-29377611",1
"NDC-SOLES","pubmed-28032012",1
"NDC-SOLES","pubmed-29079819",1
"NDC-SOLES","pubmed-16300636",1
"NDC-SOLES","pubmed-20927644",1
"NDC-SOLES","pubmed-27263037",1
"NDC-SOLES","pubmed-23549079",1
"NDC-SOLES","pubmed-24207121",1
"NDC-SOLES","pubmed-24998929",1
"NDC-SOLES","pubmed-25294932",1
"NDC-SOLES","pubmed-29021890",1
"NDC-SOLES","pubmed-19936290",1
"NDC-SOLES","pubmed-24681195",99
"NDC-SOLES","pubmed-28829283",1
"NDC-SOLES","pubmed-26733807",99
"NDC-SOLES","pubmed-28993314",99
"NDC-SOLES","pubmed-28859103",1
"NDC-SOLES","pubmed-25484298",1
"NDC-SOLES","pubmed-25882707",1
"NDC-SOLES","pubmed-29619162",1
"NDC-SOLES","pubmed-12112874",1
"NDC-SOLES","pubmed-28191889",1
"NDC-SOLES","pubmed-12086644",99
"NDC-SOLES","pubmed-20463240",1
"NDC-SOLES","pubmed-21669931",99
"NDC-SOLES","pubmed-25568131",99
"NDC-SOLES","pubmed-25804740",1
"NDC-SOLES","pubmed-27335463",1
"NDC-SOLES","pubmed-28465421",1
"NDC-SOLES","pubmed-29317220",1
"NDC-SOLES","pubmed-18773074",1
"NDC-SOLES","pubmed-12381661",1
"NDC-SOLES","pubmed-29959322",99
"NDC-SOLES","pubmed-18701717",1
"NDC-SOLES","pubmed-25935478",1
"NDC-SOLES","pubmed-25948754",1
"NDC-SOLES","pubmed-10027775",99
"NDC-SOLES","pubmed-10081933",0
"NDC-SOLES","pubmed-10087209",0
"NDC-SOLES","pubmed-10220225",0
"NDC-SOLES","pubmed-10226932",99
"NDC-SOLES","pubmed-10331989",99
"NDC-SOLES","pubmed-10338290",99
"NDC-SOLES","pubmed-10391452",0
"NDC-SOLES","pubmed-10408555",0
"NDC-SOLES","pubmed-10552217",0
"NDC-SOLES","pubmed-10553950",0
"NDC-SOLES","pubmed-10568516",0
"NDC-SOLES","pubmed-10592295",0
"NDC-SOLES","pubmed-10607866",0
"NDC-SOLES","pubmed-10628730",0
"NDC-SOLES","pubmed-10691294",0
"NDC-SOLES","pubmed-10698513",0
"NDC-SOLES","pubmed-10709209",0
"NDC-SOLES","pubmed-10755271",99
"NDC-SOLES","pubmed-10799662",0
"NDC-SOLES","pubmed-10826771",0
"NDC-SOLES","pubmed-10835165",0
"NDC-SOLES","pubmed-10869516",0
"NDC-SOLES","pubmed-10939034",0
"NDC-SOLES","pubmed-10994924",0
"NDC-SOLES","pubmed-11036212",0
"NDC-SOLES","pubmed-11060039",0
"NDC-SOLES","pubmed-11067980",0
"NDC-SOLES","pubmed-11087157",0
"NDC-SOLES","pubmed-11102541",0
"NDC-SOLES","pubmed-11110003",0
"NDC-SOLES","pubmed-11113642",0
"NDC-SOLES","pubmed-11119244",99
"NDC-SOLES","pubmed-11160957",0
"NDC-SOLES","pubmed-11218716",0
"NDC-SOLES","pubmed-11226743",99
"NDC-SOLES","pubmed-11237734",0
"NDC-SOLES","pubmed-11257312",99
"NDC-SOLES","pubmed-11391706",0
"NDC-SOLES","pubmed-11406810",0
"NDC-SOLES","pubmed-11454322",0
"NDC-SOLES","pubmed-11463512",99
"NDC-SOLES","pubmed-11520547",99
"NDC-SOLES","pubmed-11533712",0
"NDC-SOLES","pubmed-11534866",99
"NDC-SOLES","pubmed-11545734",0
"NDC-SOLES","pubmed-11553685",0
"NDC-SOLES","pubmed-11701760",0
"NDC-SOLES","pubmed-11713246",0
"NDC-SOLES","pubmed-11753645",0
"NDC-SOLES","pubmed-11756467",0
"NDC-SOLES","pubmed-11781241",0
"NDC-SOLES","pubmed-11807834",0
"NDC-SOLES","pubmed-11818964",0
"NDC-SOLES","pubmed-11823444",99
"NDC-SOLES","pubmed-11838710",99
"NDC-SOLES","pubmed-11847536",0
"NDC-SOLES","pubmed-11857399",99
"NDC-SOLES","pubmed-11880777",0
"NDC-SOLES","pubmed-11897100",0
"NDC-SOLES","pubmed-11978398",0
"NDC-SOLES","pubmed-11998247",99
"NDC-SOLES","pubmed-12000121",99
"NDC-SOLES","pubmed-12027907",0
"NDC-SOLES","pubmed-12044782",0
"NDC-SOLES","pubmed-12062590",0
"NDC-SOLES","pubmed-12063257",0
"NDC-SOLES","pubmed-12168322",0
"NDC-SOLES","pubmed-12169689",0
"NDC-SOLES","pubmed-12192617",0
"NDC-SOLES","pubmed-12231450",0
"NDC-SOLES","pubmed-12351716",0
"NDC-SOLES","pubmed-12410521",0
"NDC-SOLES","pubmed-12421919",0
"NDC-SOLES","pubmed-12443737",0
"NDC-SOLES","pubmed-12486163",0
"NDC-SOLES","pubmed-12503093",0
"NDC-SOLES","pubmed-12514097",0
"NDC-SOLES","pubmed-12555202",0
"NDC-SOLES","pubmed-12601365",0
"NDC-SOLES","pubmed-12640005",0
"NDC-SOLES","pubmed-12665569",99
"NDC-SOLES","pubmed-12665573",0
"NDC-SOLES","pubmed-12671524",0
"NDC-SOLES","pubmed-12679146",0
"NDC-SOLES","pubmed-12680997",0
"NDC-SOLES","pubmed-12702742",0
"NDC-SOLES","pubmed-12746865",0
"NDC-SOLES","pubmed-12761339",99
"NDC-SOLES","pubmed-12824782",0
"NDC-SOLES","pubmed-12837572",0
"NDC-SOLES","pubmed-12923213",0
"NDC-SOLES","pubmed-12953268",0
"NDC-SOLES","pubmed-12956733",0
"NDC-SOLES","pubmed-14506133",0
"NDC-SOLES","pubmed-14533781",0
"NDC-SOLES","pubmed-14593091",0
"NDC-SOLES","pubmed-14602089",0
"NDC-SOLES","pubmed-14630717",0
"NDC-SOLES","pubmed-14642440",99
"NDC-SOLES","pubmed-14659996",1
"NDC-SOLES","pubmed-14674845",0
"NDC-SOLES","pubmed-14679203",0
"NDC-SOLES","pubmed-14736855",0
"NDC-SOLES","pubmed-14973240",99
"NDC-SOLES","pubmed-14973270",0
"NDC-SOLES","pubmed-14993145",0
"NDC-SOLES","pubmed-15019942",99
"NDC-SOLES","pubmed-15030778",0
"NDC-SOLES","pubmed-15044042",0
"NDC-SOLES","pubmed-15046871",0
"NDC-SOLES","pubmed-15056696",0
"NDC-SOLES","pubmed-15126128",0
"NDC-SOLES","pubmed-15198801",0
"NDC-SOLES","pubmed-15234117",0
"NDC-SOLES","pubmed-15262204",0
"NDC-SOLES","pubmed-15265794",99
"NDC-SOLES","pubmed-15301441",0
"NDC-SOLES","pubmed-15302130",0
"NDC-SOLES","pubmed-15315342",0
"NDC-SOLES","pubmed-15325130",99
"NDC-SOLES","pubmed-15378509",0
"NDC-SOLES","pubmed-15379447",99
"NDC-SOLES","pubmed-15380492",0
"NDC-SOLES","pubmed-15456878",0
"NDC-SOLES","pubmed-15456931",0
"NDC-SOLES","pubmed-15475178",0
"NDC-SOLES","pubmed-15492213",0
"NDC-SOLES","pubmed-15520163",0
"NDC-SOLES","pubmed-15567333",0
"NDC-SOLES","pubmed-15670775",99
"NDC-SOLES","pubmed-15671018",0
"NDC-SOLES","pubmed-15701254",0
"NDC-SOLES","pubmed-15703211",0
"NDC-SOLES","pubmed-15748850",99
"NDC-SOLES","pubmed-15755515",99
"NDC-SOLES","pubmed-15757890",99
"NDC-SOLES","pubmed-15764699",0
"NDC-SOLES","pubmed-15806173",99
"NDC-SOLES","pubmed-15811384",0
"NDC-SOLES","pubmed-15817195",99
"NDC-SOLES","pubmed-15862921",99
"NDC-SOLES","pubmed-15899944",0
"NDC-SOLES","pubmed-15937150",0
"NDC-SOLES","pubmed-15950021",0
"NDC-SOLES","pubmed-15951562",0
"NDC-SOLES","pubmed-15955669",0
"NDC-SOLES","pubmed-15974178",0
"NDC-SOLES","pubmed-15979311",0
"NDC-SOLES","pubmed-15998793",99
"NDC-SOLES","pubmed-16000153",0
"NDC-SOLES","pubmed-16023090",99
"NDC-SOLES","pubmed-16035034",0
"NDC-SOLES","pubmed-16039062",0
"NDC-SOLES","pubmed-16051596",0
"NDC-SOLES","pubmed-16051982",99
"NDC-SOLES","pubmed-16150111",0
"NDC-SOLES","pubmed-16176388",1
"NDC-SOLES","pubmed-16190927",0
"NDC-SOLES","pubmed-16210377",0
"NDC-SOLES","pubmed-16284073",0
"NDC-SOLES","pubmed-16288458",99
"NDC-SOLES","pubmed-16314485",99
"NDC-SOLES","pubmed-16317109",0
"NDC-SOLES","pubmed-16331889",0
"NDC-SOLES","pubmed-16362527",99
"NDC-SOLES","pubmed-16409553",0
"NDC-SOLES","pubmed-16452252",1
"NDC-SOLES","pubmed-16465494",99
"NDC-SOLES","pubmed-16496415",0
"NDC-SOLES","pubmed-16518877",0
"NDC-SOLES","pubmed-16520830",0
"NDC-SOLES","pubmed-16525940",0
"NDC-SOLES","pubmed-16529610",0
"NDC-SOLES","pubmed-16540584",99
"NDC-SOLES","pubmed-16554754",99
"NDC-SOLES","pubmed-16565401",0
"NDC-SOLES","pubmed-16609043",0
"NDC-SOLES","pubmed-16645721",0
"NDC-SOLES","pubmed-16672647",99
